θ,ω,θ_next,ω_next
4.975327444441851,5.375539212356004,5.029082836565411,5.470267553132515
5.0216043951222025,5.465520033044529,5.0762595954526475,5.558967407189704
5.069888375321953,5.559975187351331,5.125488127195466,5.651872794779989
5.115132283394351,5.652269912734399,5.171654982521694,5.742520856885562
5.1648540315831015,5.745358513734119,5.2223076167204425,5.833586922174501
5.223887059400069,5.848504032841364,5.282372099728483,5.934048429710979
5.287089725332368,5.931221557051349,5.346401940902882,6.013562283547126
5.350062859713159,6.003388573683994,5.410096745449999,6.082210230015822
5.412555906073408,6.071972596449577,5.473275632037903,6.146993064648097
5.458998223675672,6.1396396869285494,5.520394620544957,6.211644687607562
5.524454068372618,6.215318425154483,5.586607252624163,6.282811347490899
5.590466665595214,6.2987727602294505,5.653454393197508,6.361422517128901
5.641693298152659,6.34527759284896,5.705146074081148,6.40397980001175
5.698796021440859,6.405360803011087,5.76284962947097,6.459481603736372
5.781640141576006,6.4861172674526255,5.846501314250532,6.533281881211039
5.844541781846231,6.539655773382358,5.909938339580054,6.581320001046954
5.913197471657021,6.564772087160411,5.978845192528626,6.6002454484544755
5.978706266706459,6.580200878543509,6.044508275491895,6.609610887610242
6.040799391935368,6.610855206986478,6.106907944005234,6.634401117752592
6.112390951915889,6.647732628492456,6.178868278200813,6.664406214617854
6.163327461695368,6.660698848511018,6.229934450180478,6.672428770855598
6.244989068535512,6.687088519890396,6.311859953734416,6.69083465983951
6.3192833062716245,6.6872956567972155,6.386156262839597,6.683755212108439
6.397988740499575,6.6788339665931105,6.464777080165506,6.66759647250071
6.464561769693013,6.67087511740119,6.531270520867025,6.653179483557046
6.524769450703793,6.6665251022790315,6.591434701726584,6.643055553676213
6.601640739153804,6.6222996333351105,6.667863735487154,6.591584520657546
6.665726023592594,6.586206545353792,6.731588089046132,6.549587900649147
6.742902250096218,6.539972705077347,6.808301977146992,6.496446279024429
6.801832700753377,6.499344839564167,6.866826149149019,6.450716094122277
6.869291595171225,6.434317346558147,6.933634768636806,6.380056140170933
6.931149502812989,6.374645584543974,6.994895958658429,6.315435908871023
7.002474119124959,6.320131183241505,7.065675430957374,6.255498014917719
7.062518540870392,6.252387756895612,7.125042418439348,6.183442561899198
7.12499355547335,6.174492690209509,7.1867384823754445,6.101324918963661
7.184577731449563,6.1179214454236215,7.245756945903799,6.04099224016577
7.2412127141246145,6.02832007037766,7.301495914828391,5.948068516449095
7.298436393442136,5.95943860193858,7.358030779461522,5.876091566333855
7.359239207303595,5.856914236430289,7.417808349667898,5.770577305786096
7.415756468831585,5.793665428420795,7.473693123115793,5.704835269216689
7.490024557121974,5.713885441438786,7.547163411536363,5.622211430557832
7.559032472896204,5.629466446291748,7.615327137359122,5.535602706245018
7.636979980901247,5.528569969189468,7.692265680593142,5.4327706702527365
7.681324686827828,5.43002503451966,7.735624937173025,5.333383606894007
7.725958062899254,5.318788986007186,7.779145952759326,5.221491819773071
7.775148169281868,5.208556199116244,7.827233731273031,5.110760873057096
7.819118133410838,5.11014789682419,7.87021961237908,5.012107509278848
7.8799686654859356,5.026212118970705,7.930230786675643,4.928145241837404
7.922307010530987,4.915884684432099,7.971465857375308,4.818013578279644
7.9726876819758585,4.815293381880534,8.020840615794663,4.717883740370427
8.00571313414262,4.736175144428528,8.053074885586906,4.639202230661513
8.065603171252656,4.627669746129101,8.111879868713947,4.531758199819379
8.099835680889516,4.5217232119815876,8.145052913009332,4.426573096962364
8.142122108888158,4.424780731421568,8.186369916202374,4.330725006551934
8.185506631381786,4.321929221307383,8.22872592359486,4.229171052869661
8.244474731397249,4.231843610180255,8.286793167499052,4.141128433238122
8.275954741528455,4.1356103376742475,8.317310844905197,4.046115413809129
8.318785957702685,4.058704891906785,8.359373006621754,3.9710123901461305
8.338516803036496,3.9773437252188804,8.378290240288685,3.8905358630264244
8.366001214401251,3.8872802309177152,8.404874016710428,3.801760887339706
8.403029223232414,3.7947822832244986,8.44097704606466,3.7111008301002686
8.433164317076423,3.7268651854101718,8.470432968930526,3.644764286970817
8.477008803114984,3.651835912324851,8.513527162238232,3.5721673485627408
8.51252117185062,3.575727854122022,8.548278450391841,3.498141856823766
8.558498167106185,3.487009676675009,8.593368263872936,3.412264857167064
8.602674643154728,3.433312653535469,8.637007769690083,3.3614466399723564
8.636922821213284,3.344810359801855,8.670370924811303,3.2752729606186004
8.666131823172584,3.2601043897210804,8.698732867069795,3.19261752616312
8.682181271085954,3.186131343592046,8.714042584521874,3.119795808703889
8.724789097932575,3.1299970763706573,8.756089068696282,3.0668001568892578
8.775308148849872,3.0637741216280063,8.805945890066152,3.004446749040864
8.818294852200285,3.0116815071495835,8.848411667271781,2.9557663406196264
8.848951046704494,2.95214509703868,8.878472497674881,2.8987268468144953
8.89263708298408,2.8861478202692523,8.921498561186773,2.8363739064497593
8.914419376819215,2.844382725146907,8.942863204070683,2.7964618396990955
8.927042568874429,2.7956215805160602,8.954998784679589,2.748785017647156
8.955462459043433,2.7596468210525087,8.983058927253959,2.715278555029515
8.982609820125077,2.6996663095986886,9.009606483221065,2.6576893106472395
9.001744264644477,2.644055238755811,9.028184817032036,2.6037823824269024
9.029337989258122,2.624478333564092,9.055582772593763,2.5866888162528214
9.047469140102509,2.5924292233852606,9.073393432336362,2.5562872286279763
9.084540456315812,2.5772658552856846,9.110313114868669,2.5445288070524312
9.113774387736859,2.5524716937964356,9.139299104674823,2.5224516989173935
9.140036754049111,2.5298427587538046,9.16533518163665,2.502285577231165
9.143419179763713,2.5008089512393576,9.168427269276107,2.4735703819353554
9.170002594762309,2.485319186515583,9.194855786627464,2.4605952365565593
9.203187234103307,2.4491083467861015,9.227678317571169,2.4275477588360057
